Sintering Temperature (°C),Heating Rate (°C/min),Holding Time (min),Cooling Rate (°C/min),Relative Density (%),Micro Hardness (Hv),Nano Hardness (GPa),Modulus of Elasticity (GPa),Stiffness (mN/nm),Plasticity Index,is_real
800,80,15,90,99.1045747982542,540.0311507652772,9.333104252538142,354.19967080289405,2.623641319153239,0.008,0
1050,100,20,90,99.83759856583603,542.2457950380327,9.953627523979756,342.4288462718558,2.668559559392564,0.008,0
850,80,20,100,99.77340827452352,537.8935064414178,9.628406876968043,350.13879418261564,2.5732717258993887,0.008,0
1200,100,20,110,100.0,551.6998379068955,9.587465413470735,354.7687764246005,2.565238840883384,0.03905448033349264,0
800,110,15,90,99.19164218257502,536.1477534225943,9.40731669974735,352.8246573437097,2.4972000008840873,0.008,0
1050,120,10,80,99.07392858261719,521.8537981574495,9.705657347248286,341.61800244884887,2.7176282677419046,0.008,0
1100,90,10,80,99.29917160619176,517.6080109394372,9.677970901644079,350.8604431021641,2.5392410082008423,0.008,0
1100,80,25,120,99.91938763861685,562.941849394511,10.161303209550933,364.26829345813087,2.787045343211901,0.04,0
800,90,25,120,99.57657793806295,561.0048230825302,9.66285379437276,348.5314077333587,2.5542472417337487,0.008,0
800,100,10,90,98.51028695830772,521.1420803484606,8.975744188070054,340.6928380649676,2.4003522972160227,0.04,0
800,110,20,80,99.66673195534189,563.9805918699369,9.49697766296427,349.75386605997613,2.5689233067496895,0.04,0
800,110,30,80,100.0,537.6316104779813,10.110262886644717,348.82776863401403,2.657838148946149,0.04,0
1100,80,10,120,99.34834637071968,532.5021422099106,9.315764164110973,343.0497221146275,2.463215391592726,0.04,0
900,80,30,100,100.0,565.059335294304,9.675509642451036,362.9346403018527,2.776088581728398,0.02057712895316056,0
1100,80,30,80,100.0,574.0990405198756,9.564629088593774,352.5545600368114,2.608164470809475,0.008,0
1100,120,20,100,100.0,546.4465311514066,9.566086446294236,350.72307883063013,2.5889892342666165,0.04,0
800,80,15,90,99.15749549680618,540.0024818141212,9.378104711768463,354.10063907283524,2.695011201922366,0.037757734954079095,0
1000,80,25,110,99.90599403046569,529.0019082193329,10.012914593678344,349.9754287071615,2.573844610310326,0.04,0
1000,80,25,80,99.99789262558454,517.5107993327205,9.760911844062079,342.11746338081974,2.5815655213245776,0.008,0
1150,90,30,110,100.0,567.8167034743321,9.804520986246043,370.527600719445,2.810488367882631,0.008,0
1000,110,10,100,99.50496281436364,528.5790031655891,9.534492079303233,342.89936717825447,2.520017527488912,0.04,0
1000,110,30,100,100.0,560.4498807352825,9.950327500004727,355.3034618813137,2.736729215614891,0.04,0
1050,90,20,100,99.9118643593865,510.2776418175231,9.795272931345796,344.0239711901028,2.5392984137284063,0.04,0
800,100,20,90,99.37645805080248,557.9106870591929,9.169278684059336,361.22409478133926,2.517319784137436,0.04,0
1100,120,20,100,99.93120690267898,546.3430232548923,9.481688436777256,350.8684842258808,2.6086622201738776,0.023715300260528413,0
1050,120,15,110,99.72560287285938,571.8628950355782,9.929257265140306,353.67796355839965,2.553072197168216,0.008,0
1000,100,15,100,99.83750763225504,535.1849372514928,9.547913667308489,353.1723891812376,2.62795272874701,0.04,0
1000,110,10,90,99.74103757619882,540.134935183679,9.309770809420018,350.08078940118224,2.6062713697213087,0.04,0
1150,110,20,80,99.98594336484152,547.8108830630786,9.598539077378435,351.25495465734747,2.629191469141075,0.008520570399106284,0
1050,90,30,90,99.96295248676122,571.0165051691378,10.025047143915573,356.14801352214135,2.7566320710276497,0.04,0
1000,100,15,100,99.7942330820317,535.2705181232145,9.616709678235958,353.2083265292753,2.5476495915434274,0.008,0
950,90,30,120,99.97110127659832,536.6115829460674,10.002761456214682,371.67677385407757,2.7992532482170134,0.008,0
900,110,30,100,99.99486374493713,545.5121277070024,10.034366447225961,357.7799671532453,2.5984356210787816,0.008,0
850,80,20,100,99.78093681433317,537.694402524236,9.528852717839953,350.14445620177304,2.6116351080538,0.008,0
1100,110,20,120,99.88785950111128,528.9400110744942,9.569278520031641,357.71255349755154,2.5824153786979362,0.019622111922330397,0
1150,100,30,80,99.95650783862659,527.7373876361497,9.994830144172749,359.87809674505877,2.729098432964465,0.008,0
1000,110,10,100,99.56585738352749,528.5426808686752,9.673768268175943,342.88467805854117,2.5518206531770673,0.008,0
950,90,30,80,100.0,571.418974322681,10.159562294739533,350.4823724491738,2.7393381230712954,0.03928695603903408,0
1200,100,20,110,100.0,551.6543720486293,9.60525355259376,354.88196562343165,2.6446193744348703,0.008,0
900,110,30,100,99.99476655996153,545.5365305852115,9.98434170615769,357.7663777285111,2.714691331469168,0.03347127655990626,0
800,120,25,90,99.78741875869282,547.5068966825665,9.641027762988827,353.96519512588486,2.642423114829016,0.04,0
1000,110,25,100,99.8857365634062,542.294593826971,10.067494303527427,361.9646672773497,2.616891938162894,0.04,0
1200,100,30,90,99.8990270425399,589.5075286821408,9.885440279503216,356.01616924574483,2.7279339206795545,0.04,0
1000,100,10,90,99.4822678501964,559.810863844209,9.530563436351462,344.86920469238896,2.512630409912345,0.008,0
800,110,30,80,99.9129029458005,537.6083569608128,10.08736650346037,348.8627107891182,2.544681779997408,0.04,0
800,80,20,120,99.8298878498885,536.9761622054319,9.43646244164295,352.78044722041574,2.7610890956890737,0.018549362633828913,0
1200,120,30,120,100.0,568.1503873797163,9.932968705859377,360.7127259436723,2.719160464438127,0.04,0
1000,100,10,90,99.59719078357291,559.8830312110706,9.501663662833122,344.7659799062281,2.4663902182394906,0.008,0
900,110,20,100,99.72506254671926,563.5564161847338,9.20944826498319,349.21089278117296,2.5520583355570254,0.03326095216284805,0
1000,90,20,100,99.71500331457862,516.5704928846825,9.853809299076211,360.26167212316807,2.8202729668858595,0.008,0
1050,120,15,120,99.44851214176718,557.0363990519083,9.690290168295107,357.6192553307115,2.6483388065499347,0.008,0
1000,110,10,100,99.52972857752393,528.4837398020952,9.600077071867805,342.9166078895881,2.5222339761472474,0.008,0
900,80,30,110,99.9932957808523,547.0356190666464,9.577256735269211,367.2572254799765,2.759282146282379,0.03441535020826347,0
800,120,30,110,99.98500926363928,532.5228654355799,9.307420495183589,353.28897993852155,2.805000005966758,0.04,0
800,100,30,80,99.91325693967072,533.3954591368047,10.14387861335003,349.6982644955089,2.6667078002137368,0.008,0
850,120,30,80,100.0,533.9097584663272,9.990166367215275,365.3968862500553,2.744307113971381,0.008,0
950,120,10,100,98.75470086200698,523.7464901877283,9.441022648306138,344.47469667512405,2.6241929823984447,0.008,0
1100,90,10,80,99.18148399648184,517.6148884704503,9.606487190760495,350.94874286981087,2.429181775447165,0.008,0
950,80,30,120,99.99389903327688,559.0091564175834,10.133232009566342,371.61966129420966,2.701085692254103,0.008,0
900,120,30,120,99.90147204812673,558.7493024319702,9.4343547289007,366.20529867627,2.7257001676501504,0.04,0
1050,120,10,80,99.02762797251593,521.8869272918402,9.602505559716167,341.51073059726224,2.6973759312892445,0.00885160092141259,0
900,90,20,100,99.74154777523542,527.3015664858295,9.50946129890988,354.86211468921005,2.7204866762258284,0.04,0
1050,80,15,110,99.47905716093177,551.1729340351399,9.968489186800623,345.9998134614646,2.623938453822558,0.008,0
800,120,30,110,100.0,532.4795750522546,9.318771235665835,353.31317386461,2.901109495928574,0.04,0
1150,90,30,110,100.0,567.7434379403343,9.723342003372183,370.59590166077015,2.92,0.04,0
900,120,25,90,99.84850017202152,532.3743568780176,9.779746327395834,344.68233069796844,2.7460590381446637,0.04,0
1000,90,20,100,99.56198413673275,516.6749464926498,9.870557550658669,360.28860926620985,2.754891006509773,0.008,0
1050,120,15,110,99.70469617291853,571.8206402219816,9.954251864829336,353.7021970346161,2.704565481542392,0.008,0
800,90,25,120,99.56797311935159,561.1029174776753,9.630671359185483,348.45029711543157,2.554989446222893,0.04,0
900,90,10,110,99.07763599429063,524.1405231088668,9.790194383427874,341.9627451090716,2.534926403734894,0.021717286980757314,0
1050,110,10,100,99.27459153758126,545.171443146727,9.450291405733502,345.0177821074427,2.6372143934199084,0.04,0
800,80,20,100,99.5725403914822,567.6069873380117,9.31082966825828,352.0775433064579,2.643094067274623,0.008,0
1000,110,30,110,100.0,554.7029974448288,10.20502058694861,356.14587050773696,2.737514872196758,0.04,0
1200,120,25,110,99.97953633350468,554.9367373553271,10.080806856073401,343.77444432112344,2.765696243289692,0.03928967367807375,0
800,100,10,90,98.48583346168489,521.129834291696,9.090301812647686,340.6534420314896,2.4162005054420717,0.008,0
900,110,20,100,99.6252407021661,563.493323011938,9.37914867844744,349.13038864963625,2.608345759956511,0.04,0
1200,100,20,110,100.0,551.5426634676556,9.690813117543106,354.88395089134906,2.5985333514256332,0.04,0
1200,120,25,80,99.984200038735,546.1588212594545,10.069588163932771,364.5675423175236,2.586854922918736,0.011873919290984043,0
1000,90,25,90,99.95038346107782,514.9952030849681,9.564495756342051,347.406735647384,2.5605449013180825,0.04,0
1000,80,25,80,99.92074037456474,517.6251443480437,9.712021222518873,342.0867899342041,2.6939733955175282,0.008,0
900,100,30,80,99.95016437037862,537.1533311388525,10.015904453148638,360.85189602753763,2.679762635694268,0.008,0
950,90,30,80,99.89185626269351,571.4404933011647,10.144698157633908,350.42607846566335,2.662218967601109,0.008,0
1150,100,10,120,99.68128635096144,554.9744251714017,9.781959720754315,348.9433657862711,2.523621145083327,0.04,0
1150,120,25,90,100.0,548.5488806710797,9.673130131932934,362.9901046957149,2.738342285357926,0.04,0
1100,90,20,90,99.92370370098257,546.436421642437,9.432727773301911,346.06499839358816,2.581246875346602,0.008,0
1100,100,30,100,99.9549745131937,525.5422631115256,9.882677142380022,358.7951198809369,2.733225149660773,0.008,0
900,120,25,90,99.88300102859543,532.2866145673112,9.78314755492102,344.72742390097017,2.6753828357922487,0.008,0
950,90,30,110,99.97157128744904,533.6106210835986,10.03070824287777,366.16392947809237,2.7569706868800234,0.04,0
1100,90,25,120,99.98860784279537,561.8885384228552,9.656186863991467,355.0676094098448,2.578121631138421,0.008,0
1100,90,25,120,99.96262640888034,561.9758268766487,9.68934097317807,355.13831801016903,2.5621155171081607,0.04,0
850,120,30,80,100.0,533.902034282611,9.9273666416974,365.31426869043906,2.7099100798807694,0.04,0
800,90,15,100,99.29962118423153,548.4192395450942,9.07113702702683,342.1742364235128,2.65544865480802,0.028574938817992196,0
800,100,15,100,99.66779777678303,567.8063740859925,9.507236505228907,343.94550258621115,2.5741179129489478,0.025315866080523254,0
850,120,25,90,99.91415318806895,560.7195751325442,9.43782658756362,356.104964812581,2.754208948808581,0.008,0
1100,80,10,120,99.33740550591419,532.5184823209562,9.339659910735474,343.05311837747377,2.575153905663738,0.04,0
1000,100,15,100,99.8517148219268,535.2448280673656,9.532329290054665,353.1115629621269,2.5877847025637455,0.04,0
900,110,30,100,99.90631547084706,545.5088867519713,10.00296472706073,357.771877754929,2.699910387829053,0.008,0
850,90,25,120,99.81355384274275,556.5644276376471,9.524885494822046,355.18695355510977,2.611626073696686,0.04,0
1000,100,25,100,99.9245459679851,516.3932823295544,9.567292923467647,361.03676148264174,2.5292486966874965,0.04,0
1200,90,30,100,99.92972341424148,579.8814523563186,9.782090736993796,367.49019690571924,2.6459749182346837,0.01552199843522123,0
1150,100,10,120,99.56411418716552,554.9617718716839,9.660168782953782,348.96374607870024,2.606458437745519,0.008,0
1100,80,20,100,99.89622828184748,515.9946847941702,9.624315712026144,354.224250382035,2.747207077214881,0.04,0
800,90,10,120,99.39642064124128,515.786937951123,9.25433715097499,340.48845830970237,2.5064428257454128,0.04,0
900,80,10,80,98.96874098221754,530.7809723442624,9.819151553252546,359.75270250747405,2.5215304263790435,0.04,0
1200,80,15,120,99.878558549872,567.2177248359933,9.459945963448247,342.67171049986666,2.6707957849700645,0.008,0
1100,100,20,110,99.90824746785319,568.2134460452332,9.32059999995162,344.6519201586965,2.6418251030217696,0.008,0
1100,80,20,100,99.85503126759399,516.0818965253931,9.489270645876177,354.21281878831735,2.7513312140953157,0.030449868170924686,0
800,90,25,120,99.5763856974386,560.9266043839949,9.637342034276893,348.52337444906044,2.550287514973865,0.008,0
950,90,15,90,99.38726216916095,536.7156765274003,9.542886871124042,343.91937923986546,2.5695065869203497,0.008,0
900,110,20,100,99.67723652312866,563.5701899153032,9.401604644453295,349.07558699596916,2.6361774727113505,0.008,0
1050,120,15,120,99.23036459076613,557.0413621960148,9.808437814598678,357.6753302489807,2.6251582304878935,0.008,0
1200,120,20,110,99.94294784697752,530.5783064608802,10.030112958199995,342.99894243568343,2.55498347887735,0.03885809142095311,0
900,120,25,90,99.92227677837465,532.3151124781995,9.835436435859522,344.62064458216815,2.893139854037508,0.03253949709824583,0
1000,90,25,90,99.92529448750489,515.055926375594,9.627560794446055,347.3934468754619,2.5846291821879364,0.033584668332215434,0
1150,120,25,90,100.0,548.6144900870885,9.627358747141239,363.00594813780356,2.6901313467228465,0.03226850636702154,0
1000,120,15,80,99.45182022030886,536.9248355103498,9.441584598908054,342.1238831634037,2.568076113621291,0.04,0
1100,80,25,120,99.97905622599704,562.8687996590585,10.047368839228442,364.1481064174565,2.663081875342323,0.014493676742598167,0
800,100,10,90,98.49110532257582,521.1237652468234,9.058225117526911,340.7971681258174,2.4275816347595445,0.04,0
1100,100,30,100,100.0,525.5319351045998,9.866273469502987,358.8125088101708,2.8020636364402596,0.04,0
800,110,30,80,100.0,537.7410150039275,10.155544605239012,348.8830611172064,2.613690064132389,0.008,0
1200,100,15,90,99.7560655785172,565.5816655350495,9.491897307386438,352.2520099827736,2.632673367199072,0.04,0
1100,80,25,120,100.0,562.8121089220073,10.159142246598405,364.25150166122,2.6774335514034258,0.04,0
1000,110,30,110,100.0,554.7178688194871,10.168106775968505,356.21569419994904,2.752348499947911,0.011202606740355357,0
950,90,25,90,100.0,514.8967718413237,9.723675131610834,357.6995348922516,2.653241421929558,0.008,0
1000,110,10,100,99.52813330312938,528.5520782278911,9.567373832338594,342.8551355700361,2.440947742942087,0.04,0
800,120,30,110,100.0,532.5287032318024,9.335029334667189,353.3587807033897,2.903645735494418,0.026249160200343784,0
800,90,25,120,99.49336614431695,561.0469478652938,9.701650243832104,348.52208585670263,2.477379197577708,0.008708195767090771,0
1100,100,20,110,99.86318489667713,568.2661870418779,9.430646762494527,344.6207247366904,2.5849064946149136,0.04,0
1000,100,10,110,98.91769261909604,516.1777366028638,9.958418549801712,338.308340044509,2.465044608414904,0.04,0
850,90,30,120,100.0,534.0117467314483,10.090383872619194,367.29574415120226,2.792529126483873,0.04,0
950,80,10,110,99.13639150760774,527.2962972147076,9.852459166298352,348.84111638594385,2.7058306491587127,0.03996739545452212,0
1000,80,25,80,99.9436141714576,517.585490214451,9.694495834587874,342.15191966021666,2.518309739517631,0.04,0
800,90,15,100,99.20412088372962,548.4462385915313,9.155729980176325,342.0766135228464,2.538633803868323,0.04,0
800,90,15,100,99.17639054508932,548.4345751030929,9.110358611944315,342.05002189652504,2.6270413521605667,0.04,0
1150,90,30,100,99.91505045982083,582.8920003927619,10.054991460612735,365.0060499439528,2.83825832945465,0.008,0
1000,110,30,110,100.0,554.7337004912004,10.207187540763812,356.2617673424035,2.6724555991549033,0.017869748606245708,0
1150,100,10,120,99.6432689328722,554.9472018372625,9.686369617310014,348.9963961891046,2.638440940344759,0.008,0
1000,120,15,90,99.20286731412374,546.7345781032499,9.449606867210578,340.61962321287353,2.5712924043189687,0.04,0
800,90,15,100,99.13386117382217,548.447798523043,9.131116033314054,342.12033120680024,2.5920787065370665,0.0191596745750285,0
1000,80,25,110,99.81866506393678,528.9927783698635,9.931795477351121,349.99718583797033,2.67275567589637,0.04,0
1000,90,25,90,99.86955745307321,514.9888080176287,9.633210737158798,347.33508590270094,2.643403182825822,0.04,0
1000,90,10,100,99.03103536419445,562.9141463226094,9.853512580698865,341.5370416802793,2.5807540854773268,0.008,0
1100,120,25,120,100.0,566.5140921381519,9.637675247736677,351.7855291849912,2.6545048701080907,0.008,0
1000,110,10,100,99.5282189065688,528.5583771065867,9.618089561061447,342.9561932391104,2.4984233915895913,0.008,0
1150,80,20,110,99.95539070704355,539.3888855837982,9.485677975177946,344.6375502053584,2.641591252802207,0.03139808576525524,0
1050,120,15,80,99.78240039835218,533.6827505455661,9.505138907573045,347.890030363449,2.557803815226859,0.04,0
900,90,30,90,99.99489428925729,542.3525098271311,9.54625544976391,360.86674735162524,2.811586437417566,0.04,0
1100,120,25,110,100.0,546.3753828059954,9.719788594040958,350.8699907499504,2.7458321718427574,0.008,0
850,90,30,120,100.0,534.0371280051703,10.063265164582553,367.40770532412546,2.789548578706679,0.008,0
1050,80,15,110,99.5084003008477,551.2517423907625,9.922883147175614,345.9855896592389,2.6456962678502673,0.04,0
850,110,30,110,99.9742685076693,563.9594656197293,10.054568221664779,360.4188906057437,2.655121441004681,0.04,0
1100,80,20,100,99.89588445050984,516.0641417446888,9.515939304063092,354.27329688548394,2.7759453053676513,0.04,0
950,80,30,120,99.95672600921957,559.070420875657,10.135287086367837,371.6308576588619,2.6294475460980493,0.04,0
1050,110,25,90,99.944301036648,535.5154218393311,9.942693311393807,350.6864649148057,2.730278574619576,0.008,0
1000,90,25,120,99.93314710839859,532.7124900068948,9.76318813560128,349.9905802595743,2.5237486086849636,0.008,0
800,100,25,90,99.68092309209449,556.9022463805495,9.84386738535996,357.99190164635127,2.5055897911407667,0.04,0
1100,100,20,110,99.87235960533036,568.3870294464696,9.311786249433927,344.59809092627773,2.6189862766611407,0.04,0
1150,90,30,110,99.97522950954638,567.6851322294726,9.781838306137107,370.5032660719464,2.820046710302563,0.008,0
1100,90,10,80,99.28807733399098,517.563611029302,9.585880789442447,350.86881159402765,2.52672510661324,0.04,0
1000,90,20,90,99.85567840466241,550.9249385282795,9.77173277309737,349.4107531873206,2.706144299539352,0.04,0
800,90,15,100,99.18987375017434,548.4976815926503,9.117799501711984,342.101282620372,2.6500418793792457,0.008,0
850,80,25,90,99.80646278059139,528.9622195522803,9.82327587411564,357.34502263576906,2.6527718216470495,0.04,0
950,110,30,120,99.99817673800985,530.439654637055,9.561645563637368,367.40295327832536,2.891295611690676,0.008,0
900,90,30,90,100.0,542.3605719517327,9.495891811007157,360.84911687640005,2.750565862195584,0.02826271722723917,0
1050,120,15,110,99.76771918740087,571.9302578349192,9.842745049384597,353.7561302843498,2.622234884176876,0.03972331156515452,0
1050,90,20,100,99.76509075214527,510.3837372534646,9.79054474918595,344.07007805026353,2.61154682260069,0.016290049122885904,0
900,120,25,90,99.90432864472017,532.3748012431263,9.853859423338898,344.6361778868649,2.7089106774894076,0.026033054823072905,0
1000,120,15,80,99.45290698158124,536.9720124805924,9.355228360552951,342.14307813935756,2.617732352076539,0.04,0
800,100,20,90,99.3596418263132,557.8605760280303,9.116108461155337,361.25290847732276,2.503568220793876,0.04,0
1000,110,10,100,99.55550045921301,528.5069306426531,9.59839945593496,343.0298260915952,2.539512958001881,0.04,0
1150,120,30,100,100.0,532.4360796952546,9.786659005201104,354.3036474700392,2.830545057816613,0.008,0
950,80,30,120,100.0,558.982722407588,10.075460199919608,371.7439788145032,2.6596090274741773,0.04,0
1000,110,30,100,99.97766011180008,560.3799611939344,9.955231735358305,355.5182880430403,2.6514721549882463,0.008,0
1100,80,20,100,99.86311486912115,516.1204590684436,9.53312180369407,354.16334820728997,2.7861287799582324,0.04,0
1200,110,25,80,99.93069222026111,546.8511633865223,9.617491439335744,357.5511151563802,2.650521080287404,0.04,0
1150,90,30,100,99.95034707357482,582.9948872922538,10.011052411566979,364.87950444121543,2.8176780932904615,0.04,0
1050,110,25,90,100.0,535.4351813828813,9.959260983698233,350.7870000192918,2.8345366301798367,0.008,0
950,90,30,120,100.0,536.6800330593485,9.90680156911671,371.6286513193435,2.734399212236407,0.04,0
1050,110,25,90,100.0,535.607636150175,10.039759195323592,350.67465022157916,2.879139064773233,0.008,0
850,80,20,100,99.71611212529986,537.7914550962513,9.613579335847424,350.13094577126384,2.6534948560850125,0.04,0
800,110,30,120,99.94435493753005,520.6236399111244,9.40485772811634,349.04596165055835,2.8237037520152017,0.028522307249426507,0
1100,110,20,120,99.81016888466,528.9769445902003,9.61284865689083,357.76774536891025,2.637949614832373,0.018058527507765924,0
800,120,30,110,100.0,532.4843425097961,9.370677733034315,353.2749334802589,2.8643882944266266,0.008,0
1150,100,25,120,100.0,563.6226706410737,9.923179760441867,357.77015350963427,2.803169989905297,0.038623830418132075,0
1050,120,15,120,99.40140376739784,557.0047798973875,9.622862770702936,357.55464406402206,2.6245148061863657,0.04,0
1200,100,15,90,99.70170353949143,565.7113257138805,9.53320210746776,352.2790699288014,2.6557043842417936,0.008,0
1200,100,15,90,99.76810477122751,565.5697659106378,9.519286214468321,352.3049462562189,2.621332570756293,0.008,0
950,110,30,120,100.0,530.3644759651816,9.490640262300586,367.4449761766425,2.8467858495960234,0.011339431559625883,0
800,110,20,80,99.63909609218285,563.9597971590149,9.472388559221617,349.76694232536886,2.6541001979776313,0.04,0
1150,90,30,100,99.99145861156879,583.05875553653,9.995239557521794,365.0387851222689,2.816800749538692,0.008,0
800,120,30,110,99.93863132349637,532.538310190566,9.310188999868418,353.23708733187857,2.8202523908183927,0.008,0
800,90,10,120,99.36077782216066,515.7811671392603,9.223526383060271,340.5187396707244,2.422134206801293,0.008,0
950,90,30,120,100.0,536.6238965642591,10.035855432896108,371.65441483790016,2.6882647770622845,0.04,0
1100,120,20,100,100.0,546.3899461411891,9.510578979880268,350.7967446005136,2.528141930065028,0.04,0
1050,120,15,110,99.7720366399327,571.9472060652331,9.821687637270685,353.6932158373792,2.7063295504256217,0.04,0
1150,100,25,120,100.0,563.6944210194539,9.853483757156809,357.79833012879556,2.789067158443114,0.008,0
800,80,20,100,99.55551943431257,567.4927212210869,9.28256318955287,352.2133191256656,2.6377479395122942,0.03881265551043307,0
800,80,15,90,99.19232663660813,540.107689447646,9.341695756071854,354.24706170414885,2.7055326264181856,0.02759652160608785,0
900,80,30,100,99.96795946382669,564.9839657768397,9.678832118794936,363.0083263529668,2.6527206135047234,0.0380106258700741,0
1150,90,30,110,100.0,567.7033375513996,9.738958660607235,370.5567010354337,2.878664556737874,0.008,0
800,110,20,80,99.66350132127522,563.9406400999184,9.45449255445643,349.78181389755093,2.5062943766891754,0.04,0
1100,90,25,120,99.98054685226833,562.0463227531812,9.629960769903485,354.9982134119141,2.570069648753704,0.008113802013275731,0
1150,100,25,120,100.0,563.7601066127581,9.838306400948989,357.62113027124497,2.8654874804538606,0.04,0
900,110,20,100,99.66128669650818,563.5131570213667,9.28872348473601,349.1563425825794,2.6958150024320306,0.009345201295378715,0
1200,90,30,100,100.0,579.863532262507,10.015638045665503,367.5904660153092,2.7053121617325497,0.04,0
1150,120,25,90,100.0,548.576219222895,9.614687817621315,363.01491420386026,2.764013981262078,0.008,0
1150,80,20,110,99.89424132693252,539.3873194749451,9.552380599529547,344.60725181393497,2.662335886269072,0.008,0
1100,100,30,110,99.99574088446764,541.0853832255372,9.807792516608849,347.7352354695118,2.7782378144217508,0.04,0
1100,80,30,80,100.0,574.0721448794541,9.60437208250658,352.56986088584694,2.5725132779440507,0.04,0
900,90,30,90,100.0,542.3384117975854,9.404723731495416,360.81289409067915,2.767846808999834,0.008,0
950,90,25,90,99.9116831806331,514.8733426598593,9.7847604740132,357.6550245020538,2.652358004885227,0.008,0
950,90,30,120,99.99463953214786,536.6591825105945,10.010268595169155,371.68011752613023,2.854034858687631,0.008,0
800,120,30,110,99.94449910785997,532.5176646171418,9.322576596841436,353.2613396620433,2.7919009837955464,0.04,0
1150,90,30,100,99.96906907322828,583.0516794392249,9.991695023014413,365.00513243565496,2.823737868767441,0.008,0
1100,80,10,120,99.40122985010808,532.5500852353558,9.243239075994284,343.127747920522,2.457448603789247,0.03448592096620258,0
1000,100,15,80,99.35416945151026,510.05187618045227,9.54602371083714,347.2273966779114,2.624922544062175,0.03750303331014818,0
1100,90,10,80,99.26200505452245,517.6279827689726,9.733411451306408,350.7648844293743,2.488326946096906,0.008,0
1100,90,20,90,99.88534846280268,546.3246434217223,9.423250939256143,346.17521212099774,2.679671560011099,0.04,0
1200,120,20,110,99.99430997524897,530.607497886369,10.138618184023079,343.0141771550455,2.568916364889054,0.014716207767405268,0
1100,90,10,80,99.30325538687633,517.5076310024284,9.68147973304655,350.8383263968928,2.48379154157714,0.04,0
850,80,20,100,99.76620954567929,537.8100580685598,9.686947896654488,350.0675742490113,2.6305489892406304,0.008,0
900,110,30,100,100.0,545.5161449824225,10.089986269382143,357.6601423531587,2.6309721113034046,0.04,0
1150,100,20,100,99.97869007591031,558.240792606565,9.826383343222613,362.55411946776013,2.7372569658030677,0.04,0
1100,90,10,80,99.2873837663625,517.6368640140635,9.61250052988073,350.8974697647923,2.492582273159296,0.008,0
1200,100,15,90,99.74983920183763,565.5635059584444,9.516944837979286,352.364255767057,2.5925058083074934,0.04,0
1150,100,25,120,100.0,563.7096808798707,9.870631257999001,357.8380212888216,2.7110444935484344,0.008,0
900,90,20,100,99.85735704120543,527.3560389994541,9.487779139270787,354.9102796778167,2.6647535722634537,0.04,0
1000,80,25,110,99.9155080717647,528.9462094054396,10.132658029784785,350.05010524195467,2.6616409221125363,0.04,0
1000,100,15,100,99.82113000688625,535.1912577009068,9.59813418125203,353.2477271253936,2.6283865600285425,0.018467160692621953,0
1100,110,20,120,99.75331213200546,529.1039397678669,9.664571524354805,357.638948863259,2.458897984865498,0.03720723073712555,0
1100,80,30,80,100.0,574.1454782970346,9.710843571804205,352.59928241899365,2.703870016429666,0.04,0
950,90,30,110,100.0,533.6403484227606,9.995912820854038,366.0566203083206,2.809711001623114,0.04,0
1150,100,30,80,99.94595052305479,527.7787661004825,10.029114958055619,359.8610046446349,2.79275677394321,0.008,0
1150,120,25,90,99.9322870508297,548.5812899553638,9.602393926754784,363.0003061918864,2.81998957845564,0.008,0
1000,110,25,80,99.9031958882875,512.2366616601635,9.691753745556866,349.29651839367244,2.585968672955137,0.04,0
1150,80,20,110,99.98342082603438,539.33218523405,9.534612857787858,344.5807270029473,2.7000658103239803,0.04,0
1150,80,15,90,99.77385407854928,541.4710701666461,9.57920288081355,341.87240984525454,2.580886599174995,0.012049382820627752,0
1200,120,25,110,99.99212373525151,554.9127510555502,10.138048930823444,343.7606963379851,2.6043264717930525,0.04,0
1050,100,25,80,100.0,523.2812570336908,10.187512612037999,348.1732762979122,2.8000514201684434,0.026657054358580592,0
1000,110,30,110,100.0,554.7719573474928,10.291720156235268,356.1631858225551,2.8325413108635984,0.008,0
950,110,30,120,100.0,530.5005337621684,9.355319243770328,367.3559802208746,2.857308970443206,0.008,0
800,90,25,120,99.47645044697165,560.8297149378159,9.647269363117251,348.4962702194755,2.5598923769000943,0.008,0
1000,90,20,90,99.81835830148633,550.7593149427116,9.666853138151387,349.42043122095794,2.705007914538951,0.04,0
800,100,15,90,99.47561519282377,534.9360267493356,9.1344677723045,354.5328419563947,2.439364698882214,0.04,0
1200,120,20,110,99.93860142857973,530.5641324221757,10.164979806955445,343.05569010191317,2.580730529203058,0.022696468924454354,0
1200,120,20,110,99.94744553873659,530.6925151056382,10.039475456522405,343.0819667732002,2.5513018452853964,0.008,0
1150,90,30,100,99.99347913705961,582.9713969103254,10.009281352122228,364.94562887089927,2.874076963847152,0.008,0
800,80,20,120,99.83121215047714,536.8622580722474,9.358221028973215,352.7662863335844,2.7425005028676095,0.04,0
1100,90,20,90,99.80875965151202,546.4103036226788,9.39334057070808,345.9795725423604,2.7999032263644503,0.04,0
1000,110,30,110,99.95873858490543,554.7771037473045,10.138575695051255,356.21722844185274,2.7718617803907213,0.01866760891758043,0
950,120,10,100,98.77549797020042,523.7877067119816,9.473413945494777,344.47328742016674,2.6963079791245037,0.04,0
1000,90,25,120,99.97268393341646,532.6710441692516,9.76072952977778,349.97690138362947,2.6101117229758475,0.04,0
